id,verdict,statement_originator,statement,statement_date,statement_source,factchecker,factcheck_date,factcheck_analysis_link
10,0,Facebook posts,"Post says a recent bill passed, and ""We get another stimulus check for $2500 at July 30, 2021""",7/15/2021,social_media,Kelsey Sena Tamakloe,7/15/2021,https://www.politifact.com/factchecks/2021/jul/15/facebook-posts/social-media-post-about-another-stimulus-check-gov/
11,1,Donald Trump,"With voting by mail, ""you get thousands and thousands of people sitting in somebody's living room, signing ballots all over the place.""",4/7/2020,news,Louis Jacobson,4/9/2020,https://www.politifact.com/factchecks/2020/apr/09/donald-trump/donald-trumps-dubious-claim-thousands-are-conspiri/
12,2,Terry McAuliffe,"During his governorship, Virginia made ""the largest investment ever in K-12 education.""",1/24/2019,speech,Warren Fiske,3/26/2019,https://www.politifact.com/factchecks/2019/mar/26/terry-mcauliffe/mcauliffe-claim-record-k-12-spending-misleading/
13,4,Chris Christie,"""In the entire public school system in Camden last year, only three students graduated college ready.""",1/14/2014,speech,Bill Wichert,1/26/2014,https://www.politifact.com/factchecks/2014/jan/26/chris-christie/chris-christie-claims-only-three-college-ready-stu/
14,1,Donald Trump,"Says he is ""cutting illegal immigration in half.""",10/30/2019,campaign,Miriam Valverde,10/31/2019,https://www.politifact.com/factchecks/2019/oct/31/donald-trump/donald-trumps-world-series-ad-said-he-cut-illegal-/
15,5,Pete Buttigieg,"""There is racism physically built into some of our highways.""",4/6/2021,news,Louis Jacobson,4/15/2021,https://www.politifact.com/factchecks/2021/apr/15/pete-buttigieg/pete-buttigieg-right-racism-shaped-some-urban-high/
16,4,Patrick Murphy,"Says Marco Rubio ""has a 98 percent voting record with the Koch brothers.""",10/27/2016,speech,Allison Graves,10/27/2016,https://www.politifact.com/factchecks/2016/oct/27/patrick-murphy/patrick-murphy-marco-rubio-voted-98-percent-time-k/
17,0,Tucker Carlson,"Says John Bolton ""fundamentally was a man of the left.""",9/10/2019,television,Bill McCarthy,9/13/2019,https://www.politifact.com/factchecks/2019/sep/13/tucker-carlson/tucker-carlson-falsely-claims-john-bolton-was-man-/
18,1,Facebook posts,"A German doctor discovered the COVID-19 vaccines include graphene oxide or graphene hydroxide, and the full list of ingredients is secret because of the emergency use authorization.",1/22/2022,blog,Monique Curet,1/24/2022,https://www.politifact.com/factchecks/2022/jan/24/facebook-posts/covid-19-vaccines-do-not-contain-graphene-are-not-/
19,4,John Kitzhaber,"""Creating 25 jobs in Umatilla County has the same impact as 500 jobs in the metro region.""",4/19/2011,news,Ian K. Kullgren,6/17/2011,https://www.politifact.com/factchecks/2011/jun/17/john-kitzhaber/governor-compares-creating-25-jobs-rural-umatilla-/
20,4,Kendrick Meek,"""When I become the nominee, the Democratic nominee, I will be the only pro-choice candidate on the ballot.""",6/22/2010,speech,Cristina Silva,6/22/2010,https://www.politifact.com/factchecks/2010/jun/22/kendrick-meek/meeks-pro-choice-stance-stands-out/
21,5,Rudy Giuliani,"Financial conflict-of-interest ""laws don't apply to the president, right? So, the president doesn't have to have a blind trust.""",11/13/2016,television,Lauren Carroll,11/16/2016,https://www.politifact.com/factchecks/2016/nov/16/rudy-giuliani/giuliani-president-trump-will-be-exempt-conflict-i/
22,1,Bruce Rauner,"Says ""J.B. Pritzker’s tax plan"" includes a ""new tax per mile you drive with government tracking device.""",9/6/2018,advertisement,Kiannah Sepeda-Miller,9/23/2018,https://www.politifact.com/factchecks/2018/sep/23/bruce-rauner/rauner-veers-course-claiming-pritzker-proposed-mil/
23,4,Chris Christie,"""Given how expansive our program already was,"" expanding Medicaid in New Jersey due to Obamacare ""was a relatively small expansion.""",11/10/2013,news,Julie Kliegman,11/14/2013,https://www.politifact.com/factchecks/2013/nov/14/chris-christie/new-jersey-medicaid-expansion-was-small-given-alre/
24,1,Chain email,"On new dollar coins, ""'In God We Trust' is gone!""",8/28/2012,email,Louis Jacobson,9/11/2012,https://www.politifact.com/factchecks/2012/sep/11/chain-email/taking-god-we-trust-coins-was-debunked-years-ago/
25,1,Democratic Party of Wisconsin,"Says ""over 1 million signatures"" were submitted in attempt to recall Gov. Scott Walker.",1/17/2012,social_media,Tom Kertscher,3/15/2012,https://www.politifact.com/factchecks/2012/mar/15/state-democratic-party-wisconsin/democrats-say-more-1-million-signatures-were-submi/
26,4,Joe Biden,"""All the billionaires in America, their net worth combined … has increased by $800 billion"" during the pandemic.",9/21/2020,speech,Nusaiba Mizan,10/12/2020,https://www.politifact.com/factchecks/2020/oct/12/joe-biden/biden-says-billionaires-gained-800-billion-study-l/
27,5,John Boehner,"""PWNED: House GOP Dominates Twitter, YouTube, Social Media in Congress.""",1/22/2010,news,Robert Farley,1/25/2010,https://www.politifact.com/factchecks/2010/jan/25/john-boehner/boehner-claims-house-republicans-dominate-twitter-/
28,3,John Boehner,"""This year, the federal government will have more revenue than any year in the history of our country.""",10/6/2013,news,Louis Jacobson,10/7/2013,https://www.politifact.com/factchecks/2013/oct/07/john-boehner/john-boehner-says-us-will-have-record-revenues-yea/
29,0,Bloggers,Says ex-Minneapolis officer accused of killing George Floyd commits suicide in prison cell.,5/31/2020,news,Samantha Putterman,6/1/2020,https://www.politifact.com/factchecks/2020/jun/01/blog-posting/ex-minneapolis-police-officer-derek-chauvin-did-no/
30,3,Newt Gingrich,"Hillary Clinton said, ""with a straight face, that the terrorist attacks this weekend were caused by Donald J. Trump""",9/19/2016,social_media,Jim Tharpe,9/23/2016,https://www.politifact.com/factchecks/2016/sep/23/newt-gingrich/gingrich-spins-clintons-words-trump-and-terrorism/
31,3,Donald Trump,"Says that in polls about 2016 candidate leadership skills, he comes out ""two and three and four times higher than anybody else.""",11/8/2015,speech,Lauren Carroll,11/8/2015,https://www.politifact.com/factchecks/2015/nov/08/donald-trump/trump-my-numbers-leadership-its-two-or-three-or-fo/
32,2,Bloggers,"""By using a little-known loophole ... Obama minions are allowing Nestle Company to export precious fresh water out of Lake Michigan.""",12/9/2013,blog,Louis Jacobson,12/17/2013,https://www.politifact.com/factchecks/2013/dec/17/blog-posting/viral-blog-posts-say-obama-minions-are-allowing-co/
33,0,Facebook posts,"The ""3 red stripes"" in Joe Biden’s campaign logo refer to a Chinese socialist slogan.",10/20/2020,social_media,Daniel Funke,10/22/2020,https://www.politifact.com/factchecks/2020/oct/22/facebook-posts/biden-campaign-logo-does-not-pay-homage-chinese-so/
34,3,U.S. Chamber of Commerce,"""Obamacare (hit) Americans with over $500 billion in new taxes.""",2/8/2012,advertisement,Becky Bowers,2/16/2012,https://www.politifact.com/factchecks/2012/feb/16/us-chamber-commerce/chamber-commerce-ad-says-obamacare-hit-americans-o/
35,1,John McCain,"""The Iranians continue – in the view of every objective observer – continue to pursue the acquisition of nuclear weapons.""",6/24/2008,other,Alexander Lane,7/7/2008,https://www.politifact.com/factchecks/2008/jul/07/john-mccain/no-consensus-on-irans-nuke-program/
36,2,Viral image,A photo of a burned cat is from the Australia wildfires.,1/4/2020,social_media,Samantha Putterman,1/7/2020,https://www.politifact.com/factchecks/2020/jan/07/viral-image/image-burned-cat-isnt-australia-wildfires/
37,4,Newt Gingrich,"The EPA was asked about an environmental citation for the city landfill in Nashua, N.H. but ""didn’t know"" why it was cited.",1/8/2012,social_media,Maryalice Gill,1/8/2012,https://www.politifact.com/factchecks/2012/jan/08/newt-gingrich/newt-gingrich-says-epa-didnt-know-why-it-cited-new/
38,3,Barack Obama,"""I wrote to Secretary Paulson, I wrote to Federal Reserve Chairman Bernanke [in March 2007], and told them this is something we have to deal with, and nobody did anything about it.""",10/7/2008,speech,Robert Farley,10/13/2008,https://www.politifact.com/factchecks/2008/oct/13/barack-obama/2007-was-too-late-to-head-off-the-crisis/
39,4,Ted Cruz,"Says Beto O’Rourke is ""open to abolishing ICE.""",8/3/2018,advertisement,W. Gardner Selby,8/6/2018,https://www.politifact.com/factchecks/2018/aug/06/ted-cruz/ted-cruz-says-beto-orourke-open-abolishing-ice/
40,5,John McCain,"""Sen. Obama has declared, and repeatedly reaffirmed his intention to meet the president of Iran without any preconditions.""",5/19/2008,other,Robert Farley,5/21/2008,https://www.politifact.com/factchecks/2008/may/21/john-mccain/he-has-said-it-again-and-again/
41,4,John Cornyn,"According to the U.S. Census Bureau, 71.2 percent of Hispanic registered voters in Texas and over 86 percent of African American registered voters participated in the 2012 elections.",8/8/2013,news,W. Gardner Selby,8/16/2013,https://www.politifact.com/factchecks/2013/aug/16/john-cornyn/cornyn-echoes-survey-latino-african-american-voter/
42,0,Rick Santorum,"Rick Santorum says Rick Perry requested 1,200 earmarks as governor of Texas.",1/11/2012,news,Katie Glueck,1/20/2012,https://www.politifact.com/factchecks/2012/jan/20/rick-santorum/rick-santorum-says-rick-perry-requested-1200-congr/
43,1,Viral image,"A wind turbine ""could never generate as much energy as was invested in building it.""",9/16/2021,social_media,Jon Greenberg,10/12/2021,https://www.politifact.com/factchecks/2021/oct/12/viral-image/actually-wind-turbines-easily-produce-more-power-i/
44,2,Barack Obama,"""During my administration, for example, we boosted U.S. exports to Canada and Mexico by about 50 percent. That supports about 2.8 million American jobs.""",6/29/2016,news,Neelesh Moorthy,7/5/2016,https://www.politifact.com/factchecks/2016/jul/05/barack-obama/obama-incorrectly-characterizes-job-growth-due-inc/
45,1,Facebook posts,"Scott Walker ""had a 2.3 GPA when he was asked to leave Marquette University for cheating.""",8/11/2015,social_media,Tom Kertscher,8/11/2015,https://www.politifact.com/factchecks/2015/aug/11/facebook-posts/scott-walker-was-asked-leave-marquette-university-/
46,2,Mitt Romney,"""I saw my father march with Martin Luther King.""",12/6/2007,other,Angie Drobnic Holan,12/28/2007,https://www.politifact.com/factchecks/2007/dec/28/mitt-romney/george-romney-and-mlk-marched-but-not-together/
47,3,Cory Booker,"Says 2012 was the ""first year in American history that more minorities are being born than people in the majority.""",2/1/2013,other,Caryn Shinske,2/17/2013,https://www.politifact.com/factchecks/2013/feb/17/cory-booker/cory-booker-says-more-minorities-born-2012-racial-/
48,0,Facebook posts,"""‘Simple math’ shows Biden claims 13 million more votes than there were eligible voters who voted in 2020 election.""",12/20/2020,social_media,Amy Sherman,12/23/2020,https://www.politifact.com/factchecks/2020/dec/23/facebook-posts/bogus-analysis-leads-ridiculous-claim-about-biden-/
49,2,Facebook posts,"""Heidi Cruz, Ted’s wife, is managing director of Goldman Sachs. They oversee the Texas utilities.""",2/21/2021,social_media,Ciara O'Rourke,2/23/2021,https://www.politifact.com/factchecks/2021/feb/23/facebook-posts/goldman-sachs-doesnt-oversee-texas-utilities/
50,1,Facebook posts,"Monkeypox is biological warfare ""against us by our governments.""",5/21/2022,social_media,Ciara O'Rourke,5/24/2022,https://www.politifact.com/factchecks/2022/may/24/facebook-posts/no-monkeypox-outbreaks-arent-due-biological-warfar/
51,4,U.S. Chamber of Commerce,"""A Florida judge ruled parts of Obamacare unconstitutional.""",5/8/2012,advertisement,Katie Sanders,5/18/2012,https://www.politifact.com/factchecks/2012/may/18/us-chamber-commerce/attack-against-alan-grayson-chamber-points-florida/
52,1,Facebook posts,"Say Nancy Pelosi’s net worth is $196,299,990.",1/23/2020,social_media,Louis Jacobson,2/3/2020,https://www.politifact.com/factchecks/2020/feb/03/facebook-posts/no-nancy-pelosis-net-worth-not-196-million/
53,2,Bloggers,"""Democrats just elected (include)… a man who preys on underage prostitutes … and an anti-semitic racist who beats women.""",11/7/2018,social_media,Ciara O'Rourke,11/13/2018,https://www.politifact.com/factchecks/2018/nov/13/blog-posting/post-elected-dems-draws-unsubstantiated-claims/
54,2,Scott Walker,"""Overwhelming Democrat and Republican votes"" in 2011 for legislation in two special sessions on jobs demonstrated the bipartisan nature of the Wisconsin Legislature.",6/6/2012,radio,Dave Umhoefer,6/13/2012,https://www.politifact.com/factchecks/2012/jun/13/scott-walker/gov-scott-walker-says-he-got-overwhelming-bipartis/
55,0,Todd Staples,"""To deprive"" underprivileged children ""of a meat-based protein during school lunch is most likely depriving them of their only source of protein for the day.""",9/8/2014,news,Dylan Baddour,9/21/2014,https://www.politifact.com/factchecks/2014/sep/21/todd-staples/todd-staples-airs-smoky-claim-about-children-not-g/
56,2,Nathan Deal,"""Handel endorsed gay adoption"" in 2003 when she was running for chairwoman of the Fulton County Commission.",5/12/2010,statement,Jim Tharpe,6/7/2010,https://www.politifact.com/factchecks/2010/jun/07/nathan-deal/deal-claims-handel-supported-gay-adoption/
57,1,Tweets,"Research from Japan shows ""ivermectin is effective against omicron in Phase III trial.""",1/31/2022,social_media,Gabrielle Settles,2/2/2022,https://www.politifact.com/factchecks/2022/feb/02/tweets/ivermectin-study-showed-antiviral-effect-which-not/
58,2,Tammy Baldwin,"""I led the fight to require the Coast Guard to buy their engines from us, not foreign companies.""",7/30/2012,advertisement,Tom Kertscher,8/22/2012,https://www.politifact.com/factchecks/2012/aug/22/tammy-baldwin/wisconsin-rep-tammy-baldwin-dem-us-senate-candidat/
59,1,Viral image,"A New York law makes it ""now perfectly legal to murder"" a baby a minute before it would be born.",1/23/2019,social_media,Ciara O'Rourke,2/1/2019,https://www.politifact.com/factchecks/2019/feb/01/viral-image/no-new-york-abortion-law-doesnt-let-mothers-abort-/
60,2,National Republican Congressional Committee,"Gas prices have gone up 99 percent since Obama became president, ""the highest gas price increase since Carter.""",4/20/2012,news,Alex Kuffner,4/29/2012,https://www.politifact.com/factchecks/2012/apr/29/national-republican-congressional-committee/national-republican-congressional-committee-says-g/
61,1,Michele Bachmann,"The IRS is ""going to be in charge of our health care.""",5/15/2013,news,Louis Jacobson,5/20/2013,https://www.politifact.com/factchecks/2013/may/20/michele-bachmann/michele-bachmann-says-irs-going-be-charge-our-heal/
62,5,Joe Manchin,"""This year West Virginia produced more AmeriCorps members than any other state.""",8/8/2018,social_media,Lili Zecevic,8/31/2018,https://www.politifact.com/factchecks/2018/aug/31/joe-manchin/does-west-virginia-produce-most-americorps-members/
63,0,Donald Trump,"""The ice caps were going to melt, they were going to be gone by now, but now they’re setting records, so okay, they’re at a record level.""",1/26/2018,news,Jon Greenberg,1/29/2018,https://www.politifact.com/factchecks/2018/jan/29/donald-trump/trump-gets-polar-ice-trend-backwards/
64,2,Charlie Kirk,"""Barack Obama asked Ukraine to investigate his political rival's campaign manager, 3 Democrat senators asked Ukraine to investigate Trump, and the DNC solicited Ukraine's help to dig up dirt on Trump.""",9/29/2019,social_media,Bill McCarthy,10/3/2019,https://www.politifact.com/factchecks/2019/oct/03/charlie-kirk/fact-checking-charlie-kirks-misleading-tweet-about/
65,4,Robin Vos,"Says 1,000 people failed gun background checks in Wisconsin in 2018, but ""almost none of them were prosecuted for trying to do a background check and illegally buy a weapon.""",11/10/2019,news,Eric Litke,11/26/2019,https://www.politifact.com/factchecks/2019/nov/26/robin-vos/wisconsin-failed-gun-background-checks-rarely-lead/
66,1,Viral image,"""Registered Republican not allowed to vote.""",7/13/2020,social_media,Tom Kertscher,7/14/2020,https://www.politifact.com/factchecks/2020/jul/14/viral-image/woman-who-says-she-was-barred-voting-la-gop-primar/
67,4,Hillary Clinton,"Says Dontre Hamilton, who was killed during a confrontation with a Milwaukee police officer, was ""unarmed.""",2/11/2016,speech,Tom Kertscher,2/18/2016,https://www.politifact.com/factchecks/2016/feb/18/hillary-clinton/black-man-was-unarmed-when-shot-dead-white-milwauk/
68,2,Hillary Clinton,"""How do Jeb Bush and Donald Trump differ on immigration? Spoiler alert: They don't.""",8/25/2015,social_media,Amy Sherman,8/28/2015,https://www.politifact.com/factchecks/2015/aug/28/hillary-clinton/hillary-clinton-says-jeb-bush-and-donald-trump-sha/
69,3,Chris Christie,"""The income tax that started at 2 percent under Governor Byrne is now 9 percent.""",9/25/2012,campaign,Erin O'Neill,10/3/2012,https://www.politifact.com/factchecks/2012/oct/03/chris-christie/chris-christie-says-state-income-tax-jumped-2-perc/
70,3,Mitt Romney,"""Obamacare takes $500 billion out of Medicare and funds Obamacare.""",6/13/2011,speech,Angie Drobnic Holan,6/16/2011,https://www.politifact.com/factchecks/2011/jun/16/mitt-romney/500-billion-medicare-obamacare-romney-says/
71,4,Bernie Sanders,"""Over half of the black workers in this country earn less"" than $15 an hour.",11/6/2015,meeting,Louis Jacobson,11/12/2015,https://www.politifact.com/factchecks/2015/nov/12/bernie-sanders/bernie-sanders-says-over-half-black-workers-earn-l/
72,1,Chris Christie,"Says the national health care law puts federal ""bureaucrats between an American citizen and her doctor.""",8/28/2012,speech,Erin O'Neill,8/30/2012,https://www.politifact.com/factchecks/2012/aug/30/chris-christie/chris-christie-says-national-health-care-law-puts-/
73,1,Viral image,"Says John Wayne said, ""If you don’t want an American flag flying in your town square or at your school, then why the hell are you living in the US?""",4/7/2019,social_media,Ciara O'Rourke,6/18/2019,https://www.politifact.com/factchecks/2019/jun/18/viral-image/no-sources-support-john-wayne-quote-about-american/
74,1,Barack Obama,"When Obama was interviewed by American reporters in Asia, ""Not one of them asked me about Asia. Not one of them asked me about the economy.""",12/3/2009,speech,Angie Drobnic Holan,12/7/2009,https://www.politifact.com/factchecks/2009/dec/07/barack-obama/obama-said-reporters-didnt-ask-questions-issues-th/
75,0,Sean Spicer,"Says Adolf Hitler ""didn't even sink to the level of using chemical weapons. ... He was not using the gas on his own people the same way that (Bashar al-)Assad is doing.""",4/11/2017,news,Jon Greenberg,4/11/2017,https://www.politifact.com/factchecks/2017/apr/11/sean-spicer/did-adolf-hitler-use-chemical-weapons/
76,4,Beto O'Rourke,"Texas is ""50th in the nation in mental health care access.""",5/25/2022,speech,Ciara O'Rourke,5/25/2022,https://www.politifact.com/factchecks/2022/may/25/beto-orourke/recent-report-put-texas-last-among-states-and-dc-m/
77,1,Viral image,"Quotes Ronald Reagan as saying, ""Keep voting Democrat ... One day they will restrict your freedoms, restrict your history and restrict your safety. All in the name of professional victims that don't understand the consequences of their ignorance.""",7/30/2020,social_media,Madison Czopek,9/23/2020,https://www.politifact.com/factchecks/2020/sep/23/viral-image/no-ronald-reagan-didnt-say-about-democrats/
78,3,Facebook posts,"""It’s not that there’s a virus shield between Canada (4,500 deaths) and the U.S. (80,000 deaths). What exists is a difference in leadership.""",5/9/2020,social_media,Tom Kertscher,5/15/2020,https://www.politifact.com/factchecks/2020/may/15/facebook-posts/fact-checking-why-us-has-more-covid-19-deaths-cana/
79,3,George Will,"Democrats in the 1930s wanted President Franklin Roosevelt ""to be more conservative.""",7/18/2010,television,Louis Jacobson,7/22/2010,https://www.politifact.com/factchecks/2010/jul/22/george-will/george-will-says-democrats-1930s-wanted-fdr-be-mor/
80,1,Facebook posts,"""Texas has launched ‘Operation Lone Star’ to finish the border wall themselves.""",3/21/2021,social_media,Ciara O'Rourke,3/23/2021,https://www.politifact.com/factchecks/2021/mar/23/facebook-posts/no-texas-isnt-finishing-border-wall-operation-lone/
81,4,Donald Trump,"""Ford is moving all of their small-car production to Mexico.""",10/20/2016,speech,Louis Jacobson,10/23/2016,https://www.politifact.com/factchecks/2016/oct/23/donald-trump/donald-trump-says-ford-moving-all-small-car-produc/
82,0,Rush Limbaugh,"Says Joe Biden’s Democratic National Convention speech ""had to be taped in segments, and the segments had to be edited together.""",8/21/2020,radio,Bill McCarthy,8/24/2020,https://www.politifact.com/factchecks/2020/aug/24/rush-limbaugh/joe-biden-gave-his-convention-speech-live-rush-lim/
83,0,Viral image,"""Military arrests former President George W. Bush.""",11/17/2021,social_media,Ciara O'Rourke,11/18/2021,https://www.politifact.com/factchecks/2021/nov/18/viral-image/no-military-didnt-arrest-george-bush/
84,3,Paul Broun,"""In the last two years, I have supported and proposed $155 billion worth of targeting cuts. Dr. Gingrey has presented zero.""",3/28/2013,meeting,Eric Stirgus,4/9/2013,https://www.politifact.com/factchecks/2013/apr/09/paul-broun/broun-takes-rivals-record-proposed-cuts/
85,4,Jeb Bush,"Says that during his eight years as Florida governor, ""we created 1.3 million net new jobs -- more jobs created than Texas.""",6/2/2015,speech,Amy Sherman,6/3/2015,https://www.politifact.com/factchecks/2015/jun/03/jeb-bush/jeb-bush-says-13-million-jobs-were-created-florida/
86,2,Rahm Emanuel,Says Mitt Romney asked for a waiver from federal welfare rules.,9/2/2012,news,Molly Moorhead,9/6/2012,https://www.politifact.com/factchecks/2012/sep/06/rahm-emanuel/rahm-emanuel-says-romney-asked-welfare-work-waiver/
87,3,Rob Portman,"Says the health care reform bill was paid for, in part, by taking money from students and the student loan system.",4/28/2012,news,Stephen Koff,5/14/2012,https://www.politifact.com/factchecks/2012/may/14/rob-portman/rob-portman-says-student-loan-money-was-used-cover/
88,3,Rebecca Kleefisch,"""Right now, our corrections department charges taxpayers between $30,000 and $40,000 a year per person we lock up,"" she said. ""That’s actually cheap when you compare us to the rest of the country.""",4/20/2016,radio,Alison Dirr,7/8/2016,https://www.politifact.com/factchecks/2016/jul/08/rebecca-kleefisch/Kleefisch-per-inmate-cost-comparison/
89,2,Scott Walker,"Says he will pursue change in federal law to protect employees from ""extortion from a union"" because ""the Supreme Court has ruled that federal prohibitions outlawing extortion usually do not apply to unions.""",9/14/2015,campaign,Tom Kertscher,9/17/2015,https://www.politifact.com/factchecks/2015/sep/17/scott-walker/scott-walker-says-high-court-has-said-federal-laws/
90,4,Michele Bachmann,"In 1993, Newt Gingrich ""first advocated for the individual mandate in health care. And as recently as May of this year, he was still advocating"" for it.",12/10/2011,speech,Louis Jacobson,12/11/2011,https://www.politifact.com/factchecks/2011/dec/11/michele-bachmann/michele-bachmann-says-newt-gingrich-backed-individ/
91,0,Ted Cruz,"David Dewhurst has a ""record of promoting an income tax.""",1/12/2012,other,W. Gardner Selby,2/10/2012,https://www.politifact.com/factchecks/2012/feb/10/ted-cruz/ted-cruz-says-david-dewhurst-has-record-promoting-/
92,3,Michael Bloomberg,"""I certainly supported Barack Obama and Joe Biden. ... I was there both times for them.""",2/26/2020,television,Miriam Valverde,3/3/2020,https://www.politifact.com/factchecks/2020/mar/03/michael-bloomberg/mike-bloomberg-exaggerates-his-support-obama-2008-/
93,0,Ann Coulter,"""No doctors who went to an American medical school will be accepting Obamacare.""",10/9/2013,news,Louis Jacobson,10/16/2013,https://www.politifact.com/factchecks/2013/oct/16/ann-coulter/ann-coulter-says-no-doctors-who-went-american-medi/
94,0,Bloggers,"""The McCarran-Walter Act of 1952 bans Muslims from holding public office in the United States.""",1/6/2019,social_media,Ciara O'Rourke,1/14/2019,https://www.politifact.com/factchecks/2019/jan/14/blog-posting/mccarran-walter-act-1952-never-banned-muslims-publ/
95,5,David Dewhurst,Says Barack Obama has played over 90 rounds of golf as president.,4/4/2012,advertisement,W. Gardner Selby,4/4/2012,https://www.politifact.com/factchecks/2012/apr/04/david-dewhurst/david-dewhurst-says-barack-obama-has-played-over-9/
96,5,Tammy Baldwin,"29 states still don’t have ""comprehensive protections"" for people in the LGBTQ community.",3/12/2019,other,Mica Soellner,3/28/2019,https://www.politifact.com/factchecks/2019/mar/28/tammy-baldwin/baldwin-hits-target-claim-about-states-and-compreh/
97,1,Donald Trump,"""We've done more tests in eight days than South Korea has done in eight weeks.""",3/24/2020,news,Shefali Luthra,3/25/2020,https://www.politifact.com/factchecks/2020/mar/25/donald-trump/trumps-boast-about-us-south-korea-coronavirus-test/
98,4,Tim Kaine,"George Allen ""voted to end Pell Grants for 84,000 students.""",9/12/2012,news,Sean Gorman,10/1/2012,https://www.politifact.com/factchecks/2012/oct/01/tim-kaine/tim-kaine-says-george-allen-voted-end-pell-grants-/
99,2,Rick Scott,"""Estimates say individuals who escaped these high tax states have taken with them around $2 trillion in adjusted gross income.""",1/6/2015,speech,Joshua Gillin,1/8/2015,https://www.politifact.com/factchecks/2015/jan/08/rick-scott/people-moved-2-trillion-worth-income-escape-high-t/
100,1,Viral image,Photo shows Kim Jong Un’s weight loss,6/16/2022,social_media,Ciara O'Rourke,6/17/2022,https://www.politifact.com/factchecks/2022/jun/17/viral-image/altered-photo-makes-kim-jong-un-appear-thinner/
101,3,Republican Party of Wisconsin,"Says Russ Feingold ""formed his own political group to pay himself and his staff millions.""",10/14/2016,radio,Eric Litke,11/3/2016,https://www.politifact.com/factchecks/2016/nov/03/republican-party-wisconsin/did-russ-feingold-form-his-own-political-group-pay/
102,3,Rick Santorum,"Says Mitt Romney said ""we are going to have to live with high gas prices, it's a good thing because it will reduce consumption, we don't want to produce any more gasoline.""",3/25/2012,campaign,Molly Moorhead,3/28/2012,https://www.politifact.com/factchecks/2012/mar/28/rick-santorum/santorum-accuses-romney-favoring-high-gas-prices-m/
103,2,Barack Obama,"Says Jonathan Gruber was ""some adviser who never worked on our staff.""",11/16/2014,other,Steve Contorno,11/19/2014,https://www.politifact.com/factchecks/2014/nov/19/barack-obama/barack-obama-says-mit-professor-jonathan-gruber-wa/
104,3,Chain email,"""Barack Obama's nominee for 'regulatory czar' has advocated a 'Fairness Doctrine' for the Internet"" that would require links to opposing opinions.",4/27/2009,other,Robert Farley,5/5/2009,https://www.politifact.com/factchecks/2009/may/05/chain-email/cass-sunstein-once-considered-fairnes-doctrine-sor/
